rotation in degrees,displacement in mm,Force in Newtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
68.0247,27.1623,17.8736582859259,3409.86022437875,3326.70209904885,1.25788131033382,-31.9767851851852
68.0247,32.5956,25.2748072585186,3293.13358048396,3205.49959523026,1.74943298679432,-39.7554814814815
77.679,0.0006,-8.26822208481482,1181.82406683548,1155.33395730361,2.12728332030386e-10,29.4626740740741
77.679,5.44,-5.45055714407407,562.416639704973,539.491084126463,0.00832196653438655,27.2585666666667
77.679,10.872,-4.0857285837037,660.457074047956,651.913741125069,0.0390331398839924,25.3028481481482
77.679,16.3063,-1.63148808629629,1429.20980692643,1412.40029521102,0.190010170718884,19.263437037037
77.679,21.74,5.23998820333334,3066.29262652312,3023.13767497813,0.724607262485659,-0.689455555555568
77.679,27.1722,15.5585187981481,3662.79363735712,3593.89170944838,1.35217237967104,-26.0487333333333
77.679,32.6067,24.5408818992593,3692.74286527277,3605.56474190726,1.96305635552889,-39.7807925925927
87.4341,0.0006,-7.05289423851852,1126.97997525047,1085.93758544537,2.02856395545085e-10,25.5461333333333
87.4341,5.44,-4.53588395592593,516.840619011918,501.771764063353,0.00764758727139555,23.4066481481481
87.4341,10.8713,-3.3152869362963,505.69878232889,490.019060622611,0.0298830466836868,22.3168851851852
87.4341,16.3059,-1.72433351555555,947.759786127799,930.352816362247,0.125996311342538,19.7217888888889
87.4341,21.7391,2.39365556111112,2289.42940560918,2266.44842485233,0.540978968622715,9.10185925925925
87.4341,27.1706,12.3199528940741,3789.98066510106,3719.44866105586,1.39896051384976,-16.6855851851852
87.4341,32.6046,23.0589545925926,4061.52622816978,3969.52614593587,2.15882291656898,-37.3683777777779
97.0947,0.0006,-6.32626446925926,1085.7165214023,1048.96350441733,1.95428973852415e-10,23.9174407407407
97.0947,5.4397,-3.89470643481481,486.899941512546,470.443399934491,0.00720376645577878,21.2753444444444
97.0947,10.8719,-2.70323826592593,431.94271624059,419.978026660839,0.025527427856859,20.3756481481481
97.0947,16.3061,-1.45704021222222,719.995933915076,702.707554389418,0.0957194624321817,19.0682185185185
97.0947,21.7396,1.10664901259259,1557.88164693371,1533.58950016406,0.368135384722992,13.7773888888889
97.0947,27.1713,8.73949432370369,3514.03967575956,3472.37580028405,1.29717180416416,-5.75489259259256
97.0947,32.6055,20.8495737711111,4357.26371442611,4264.15279965004,2.31614411585936,-32.2686888888889
106.7544,0.0006,-5.88526344222222,1088.74449223373,1052.62806186869,1.95974008602071e-10,23.6972888888889
106.7544,5.44,-3.40316794555556,465.310093692759,452.56442402363,0.00688510039435301,20.3077259259259
106.7544,10.871,-2.24197666703704,389.838745846406,383.809390696659,0.0230353065966363,19.4100777777778
106.7544,16.306,-1.13729336222222,585.685171964104,573.071091187404,0.0778626372217226,18.5496888888889
106.7544,21.7393,0.682730315555557,1111.43062584328,1094.71838766134,0.26262948115044,15.6698148148148
106.7544,27.1711,5.74856088851852,2801.52077628289,2777.64130886048,1.03413751603983,3.87958148148149
106.7544,32.6056,17.7911598766667,4526.12814399742,4443.54300229435,2.40592033408101,-24.1558925925926
116.4096,0.0006,-5.63863734888889,1037.60690444249,1013.35819310055,1.86769242799647e-10,24.4488814814815
116.4096,5.4399,-3.10394952962963,439.160625713907,427.119757536042,0.00649793304537895,20.4751962962963
116.4096,10.8714,-1.91578363555556,369.030704034532,358.50689316146,0.021807378267673,19.2087814814815
116.4096,16.3056,-0.858349182592595,512.833021793024,504.154340695386,0.0681741222195453,18.4110037037037
116.4096,21.7391,0.608815252592587,857.773149633821,834.463530956026,0.202686849685889,16.6906370370371
116.4096,27.1709,3.94440890185185,2010.89003981509,1989.04092448913,0.742277635264983,9.93380000000001
116.4096,32.605,14.0919848900001,4415.46683023576,4359.5800897057,2.34701054053734,-13.7551481481483
