Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"37.5930","27.3670","21554.35371","-9.6849","-32.4362"
"37.5980","27.4167","21674.76463","-9.6849","-32.5356"
"37.6030","27.4688","21782.89032","-9.6849","-32.6239"
"37.6080","27.5222","21874.24278","-9.6849","-32.7063"
"37.6130","27.5758","21953.89175","-9.6849","-32.7753"
"37.6180","27.6293","22029.99878","-9.6849","-32.8354"
"37.6230","27.6821","22111.82404","-9.6849","-32.9028"
"37.6280","27.7343","22202.98958","-9.6849","-32.9759"
"37.6330","27.7856","22298.51723","-9.6849","-33.0608"
"37.6380","27.8364","22391.38985","-9.6849","-33.1493"
"37.6430","27.8865","22478.95432","-9.6849","-33.2311"
"37.6480","27.9363","22559.55505","-9.6849","-33.2926"
"37.6530","27.9857","22634.91249","-9.6849","-33.3266"
"37.6580","28.0350","22710.64568","-9.6849","-33.3437"
"37.6630","28.0841","22789.96658","-9.6849","-33.3771"
"37.6680","28.1332","22871.74034","-9.6849","-33.4421"
"37.6720","28.1724","22937.37984","-9.6849","-33.5041"
"37.6730","28.1822","22953.43018","-9.6849","-33.5191"
"40.1680","32.6035","24331.51436","-9.6849","-26.3144"
"40.1730","32.6035","24326.08986","-9.6849","-26.3162"
"40.1780","32.6036","24326.05743","-9.6849","-26.3330"
"40.1830","32.6041","24331.05850","-9.6849","-26.3418"
"40.1880","32.6058","24342.47208","-9.6849","-26.3429"
"40.1930","32.6097","24355.11017","-9.6849","-26.3592"
"40.1980","32.6174","24363.61313","-9.6849","-26.3706"
"40.2030","32.6307","24370.49866","-9.6849","-26.3484"
"40.2080","32.6507","24382.78198","-9.6849","-26.3215"
"40.2130","32.6781","24415.47394","-9.6849","-26.3293"
"40.2180","32.7127","24481.68945","-9.6849","-26.3965"
"40.2230","32.7535","24581.69365","-9.6849","-26.4950"
"40.2280","32.7995","24702.95334","-9.6849","-26.5821"
"40.2330","32.8492","24827.80266","-9.6849","-26.6512"
"40.2380","32.9012","24938.94958","-9.6849","-26.6955"
"40.2430","32.9545","25032.85217","-9.6849","-26.7284"
"40.2480","33.0083","25114.68697","-9.6849","-26.7625"
"40.2530","33.0618","25193.34221","-9.6849","-26.7994"
"40.2580","33.1147","25278.47099","-9.6849","-26.8413"
"40.2630","33.1669","25374.81308","-9.6849","-26.8840"
"40.2680","33.2184","25479.21753","-9.6849","-26.9282"
"40.2730","33.2692","25584.10072","-9.6849","-26.9713"
"40.2780","33.3195","25681.33545","-9.6849","-27.0239"
"40.2830","33.3693","25769.05060","-9.6849","-27.0718"
"40.2880","33.4188","25851.72081","-9.6849","-27.1153"
"40.2930","33.4680","25934.61037","-9.6849","-27.1389"
"40.2980","33.5171","26020.41435","-9.6849","-27.1474"
"40.3030","33.5661","26108.46710","-9.6849","-27.1828"
"40.3070","33.6053","26177.70958","-9.6849","-27.2210"
"40.3080","33.6150","26194.76509","-9.6849","-27.2286"
"48.6640","0.0006","-10519.66476","-19.3941","50.2577"
"48.6690","0.0006","-10515.19871","-19.3941","50.2331"
"48.6740","0.0007","-10503.30734","-19.3941","50.2078"
"48.6790","0.0015","-10483.99353","-19.3941","50.1797"
"48.6840","0.0042","-10464.52236","-19.3941","50.1688"
"48.6890","0.0105","-10448.76671","-19.3941","50.1347"
"48.6940","0.0221","-10434.44443","-19.3941","50.0532"
"48.6990","0.0405","-10412.16469","-19.3941","49.8895"
"48.7040","0.0664","-10368.60657","-19.3941","49.5925"
"48.7090","0.0997","-10290.60173","-19.3941","49.1625"
"48.7140","0.1397","-10175.02213","-19.3941","48.6324"
"48.7190","0.1852","-10033.50353","-19.3941","48.0472"
"48.7240","0.2347","-9886.13796","-19.3941","47.4441"
"48.7290","0.2867","-9749.53079","-19.3941","46.8614"
"48.7340","0.3401","-9629.98772","-19.3941","46.3014"
"48.7390","0.3940","-9526.60656","-19.3941","45.7705"
"48.7440","0.4476","-9432.95860","-19.3941","45.2727"
"48.7490","0.5006","-9339.18285","-19.3941","44.7817"
"48.7540","0.5529","-9238.91258","-19.3941","44.2930"
"48.7590","0.6044","-9132.45773","-19.3941","43.7930"
"48.7640","0.6552","-9027.31705","-19.3941","43.3025"
"48.7690","0.7053","-8927.30045","-19.3941","42.8397"
"48.7740","0.7550","-8834.61285","-19.3941","42.3968"
"48.7790","0.8043","-8748.31295","-19.3941","41.9930"
"48.7840","0.8534","-8663.60760","-19.3941","41.6258"
"48.7890","0.9024","-8576.37024","-19.3941","41.2655"
"48.7940","0.9513","-8486.94038","-19.3941","40.8964"
"48.7990","1.0002","-8397.47238","-19.3941","40.5170"
"48.8000","1.0100","-8379.88758","-19.3941","40.4394"
"48.8010","1.0198","-8362.44011","-19.3941","40.3567"
"51.2880","5.4395","-2194.18311","-19.3941","12.7077"
"51.2930","5.4395","-2191.46657","-19.3941","12.7530"
"51.2980","5.4396","-2184.05843","-19.3941","12.7941"
"51.3030","5.4401","-2173.67268","-19.3941","12.8175"
"51.3080","5.4417","-2162.46915","-19.3941","12.8184"
"51.3130","5.4456","-2153.11337","-19.3941","12.8058"
"51.3180","5.4534","-2147.16172","-19.3941","12.7621"
"51.3230","5.4667","-2141.49475","-19.3941","12.6964"
"51.3280","5.4869","-2126.88684","-19.3941","12.5688"
"51.3330","5.5144","-2088.22536","-19.3941","12.3342"
"51.3380","5.5491","-2015.27524","-19.3941","12.0085"
"51.3430","5.5903","-1908.76007","-19.3941","11.6182"
"51.3480","5.6367","-1780.97546","-19.3941","11.1818"
"51.3530","5.6868","-1649.40584","-19.3941","10.7285"
"51.3580","5.7392","-1529.03557","-19.3941","10.2836"
"51.3630","5.7929","-1424.84593","-19.3941","9.8495"
"51.3680","5.8469","-1333.59480","-19.3941","9.4441"
"51.3730","5.9006","-1246.55437","-19.3941","9.0645"
"51.3780","5.9536","-1155.59745","-19.3941","8.6841"
"51.3830","6.0058","-1055.27854","-19.3941","8.3078"
